timestamp,GLOBAL_POSITION_INT.time_boot_ms,GLOBAL_POSITION_INT.lat,GLOBAL_POSITION_INT.lon,GLOBAL_POSITION_INT.alt,GLOBAL_POSITION_INT.relative_alt,GLOBAL_POSITION_INT.vx,GLOBAL_POSITION_INT.vy,GLOBAL_POSITION_INT.vz,GLOBAL_POSITION_INT.hdg,ATTITUDE.time_boot_ms,ATTITUDE.roll,ATTITUDE.pitch,ATTITUDE.yaw,ATTITUDE.rollspeed,ATTITUDE.pitchspeed,ATTITUDE.yawspeed,VFR_HUD.airspeed,VFR_HUD.groundspeed,VFR_HUD.heading,VFR_HUD.throttle,VFR_HUD.alt,VFR_HUD.climb
1429524840.40100002,1508148,476028015,85340929,410545,-7134,-12,-1,12,34753,,,,,,,,,,,,,
1429524840.63199997,,,,,,,,,,1508587,0.0502911172807,-0.00601483182982,-0.217759773135,0.00604028813541,-0.000476663117297,-0.00100566446781,,,,,,
1429524840.73199987,,,,,,,,,,,,,,,,,0.0,0.104847893119,347,0,311.619842529,-0.126711592078
1429524841.09399986,,,,,,,,,,1509087,0.0596951730549,-0.00644831685349,-0.217754736543,-0.0365425571799,0.00248798821121,0.000215262174606,,,,,,
1429524841.25199986,,,,,,,,,,,,,,,,,0.0,0.082440957427,347,0,311.619842529,-0.126397177577
1429524841.25300002,1509148,476028021,85340925,410457,-7221,-7,-3,12,34752,,,,,,,,,,,,,
1429524841.64400005,,,,,,,,,,,,,,,,,0.0,0.0615094676614,347,0,311.619842529,-0.125052005053
1429524842.23399997,,,,,,,,,,1510097,0.0551451928914,-0.00625430000946,-0.218527361751,0.00690373964608,0.000396746327169,0.00160565972328,,,,,,
1429524842.38899994,,,,,,,,,,,,,,,,,0.0,0.136756643653,347,0,311.619842529,-0.127410143614
1429524842.46899986,1510158,476028014,85340909,410340,-7338,-10,-9,12,34747,,,,,,,,,,,,,
1429524842.70199990,,,,,,,,,,1510617,0.0504055283964,-0.00796529464424,-0.218501508236,-0.00722765782848,-0.00258076027967,0.00108185224235,0.0,0.0852118507028,347,0,311.619842529,-0.129853799939
1429524843.14999986,,,,,,,,,,1511117,0.0528815723956,-0.00822342373431,-0.218340426683,0.00376934348606,0.0010862009367,-0.00101374648511,,,,,,
1429524843.30299997,,,,,,,,,,,,,,,,,0.0,0.076740346849,347,0,311.619842529,-0.126224860549
1429524843.38899994,1511162,476028022,85340915,410220,-7459,-3,-6,12,34748,,,,,,,,,,,,,
1429524843.61299992,,,,,,,,,,1511617,0.0541497319937,-0.00690781557932,-0.218048006296,-0.0053012589924,-0.00169750524219,0.001953009516,,,,,,
1429524843.62800002,,,,,,,,,,,,,,,,,0.0,0.0748436003923,347,0,311.619842529,-0.128577068448
1429524844.39400005,,,,,,,,,,1512117,0.0531832128763,-0.00740265473723,-0.218401491642,0.00638800626621,0.000569316616748,0.000205164775252,,,,,,
1429524844.50399995,,,,,,,,,,,,,,,,,0.0,0.0765853449702,347,0,311.619842529,-0.12972985208
1429524844.55399990,1512168,476028014,85340922,410135,-7544,-5,-5,12,34748,,,,,,,,,,,,,
1429524844.56900001,,,,,,,,,,1512627,0.0541805699468,-0.00851054210216,-0.218744799495,0.00481307739392,0.000738306785934,-0.000669825822115,,,,,,
1429524844.67199993,,,,,,,,,,,,,,,,,0.0,0.077625118196,347,0,311.619842529,-0.128305599093
1429524845.11299992,,,,,,,,,,1513127,0.0524201765656,-0.00871552806348,-0.218553349376,0.00935205258429,-0.000833601457998,0.000725321471691,,,,,,
1429524845.11399984,,,,,,,,,,,,,,,,,0.0,0.0629378631711,347,0,311.619842529,-0.125926196575
1429524845.31999993,1513178,476028019,85340917,410072,-7606,0,-6,12,34747,,,,,,,,,,,,,
1429524845.67199993,,,,,,,,,,1513637,0.0552546940744,-0.00831950549036,-0.21852530539,-0.00705008488148,0.001612594584,2.68332660198e-05,,,,,,
1429524845.82200003,,,,,,,,,,,,,,,,,0.0,0.0329974777997,347,0,311.619842529,-0.12373675406
1429524846.46700001,,,,,,,,,,1514147,0.0571394711733,-0.00775755941868,-0.218399420381,0.0182601157576,-0.00117388600484,0.00159698911011,0.0,0.0273236483335,347,0,311.619842529,-0.123222097754
1429524846.51399994,1514178,476028014,85340934,410045,-7633,-2,0,12,34748,,,,,,,,,,,,,
1429524846.62299991,,,,,,,,,,1514647,0.0573345273733,-0.0075935642235,-0.218451827765,0.00219570263289,-0.00291826669127,-0.000848779454827,,,,,,
1429524846.74000001,,,,,,,,,,,,,,,,,0.0,0.0424196831882,347,0,311.619842529,-0.124330729246
1429524847.18400002,,,,,,,,,,1515157,0.0517090559006,-0.0073957904242,-0.218390867114,0.0107477745041,-0.00204146793112,-0.000850103795528,0.0,0.0567177832127,347,0,311.619842529,-0.12438313663
1429524847.40100002,1515182,476028006,85340933,409976,-7702,-5,-1,12,34748,,,,,,,,,,,,,
1429524847.64499998,,,,,,,,,,1515667,0.0509095750749,-0.00718270847574,-0.218518123031,0.00725347548723,-0.00308595900424,0.000194862484932,0.0,0.075899258256,347,0,311.619842529,-0.122934401035
1429524848.20400000,,,,,,,,,,1516177,0.0514072142541,-0.00768928742036,-0.218602597713,-0.0739020556211,-0.00867095869035,0.00211405567825,,,,,,
1429524848.34099984,,,,,,,,,,,,,,,,,0.0,0.0678414925933,347,0,311.619842529,-0.126514479518
1429524848.34200001,1516188,476028000,85340937,409893,-7786,-6,0,12,34747,,,,,,,,,,,,,
1429524848.67199993,,,,,,,,,,1516687,0.0434385947883,-0.00829502753913,-0.219000011683,0.0329012945294,0.0026756268926,0.00350705906749,,,,,,
1429524848.68700004,,,,,,,,,,,,,,,,,0.0,0.103433147073,347,0,311.619842529,-0.123454459012
1429524849.26099992,,,,,,,,,,1517187,0.0494487807155,-0.00589075731114,-0.219114497304,0.0205102190375,6.61702360958e-05,0.00123725645244,,,,,,
1429524849.37899995,,,,,,,,,,,,,,,,,0.0,0.144325479865,347,0,311.619842529,-0.129031911492
1429524849.46499991,1517188,476027982,85340929,409777,-7902,-13,-4,12,34744,,,,,,,,,,,,,
1429524849.71099997,,,,,,,,,,1517697,0.0501846447587,-0.00597746251151,-0.218934118748,0.0255722608417,6.33503077552e-05,0.00123619847,0.0,0.136079609394,347,0,311.619842529,-0.130176544189
1429524850.19499993,1518198,476027978,85340923,409675,-8003,-11,-6,13,34744,1518197,0.0524129904807,-0.00706889852881,-0.219179674983,0.0231251437217,0.000407439016271,0.00105988048017,0.0,0.129515632987,347,0,311.619842529,-0.134740009904
1429524850.73699999,,,,,,,,,,1518697,0.0528652407229,-0.0074483435601,-0.219250902534,0.0117786079645,-0.00186299625784,0.0014071688056,,,,,,
1429524850.75199986,,,,,,,,,,,,,,,,,0.0,0.134862422943,347,0,311.619842529,-0.139289215207
